age;job;marital;education;default;housing;loan;contact;month;day_of_week;emp.var.rate;cons.price.idx;cons.conf.idx;euribor3m;y
[20, 40[;Employed;Not married;Basic;no;yes;no;telephone;may;fri;1.1;93.994;-36.4;4.855;no
[40, 60[;Employed;Married;Basic;unknown;no;no;cellular;aug;wed;1.4;93.444;-36.1;4.967;no
[20, 40[;Employed;Not married;Professional Course;no;yes;no;cellular;aug;thu;1.4;93.444;-36.1;4.964;no
[40, 60[;Employed;Not married;Professional Course;no;no;no;cellular;may;mon;-1.8;92.893;-46.2;1.244;no
[20, 40[;Employed;Not married;HIgh School;no;no;no;cellular;jul;tue;1.4;93.918;-42.7;4.962;no
[40, 60[;unemployed;Married;Basic;no;yes;no;cellular;jul;thu;1.4;93.918;-42.7;4.958;no
[20, 40[;Employed;Not married;University Degree;no;yes;no;cellular;jul;fri;-2.9;92.469;-33.6;1.059;no
[20, 40[;Employed;Married;University Degree;unknown;yes;no;telephone;jun;wed;1.4;94.465;-41.8;4.959;no
[20, 40[;unemployed;Married;Basic;no;yes;yes;telephone;may;fri;1.1;93.994;-36.4;4.857;no
[60, 80[;Retired;Married;Basic;unknown;yes;no;cellular;oct;fri;-3.4;92.431;-26.9;0.72;no
*;*;*;*;*;*;*;cellular;mar;thu;-1.8;92.843;-50;1.538;yes
[40, 60[;Employed;Married;Basic;unknown;no;yes;telephone;jun;thu;1.4;94.465;-41.8;4.961;no
[40, 60[;Employed;Married;Basic;no;yes;no;telephone;may;wed;1.1;93.994;-36.4;4.856;no
[40, 60[;Employed;Not married;University Degree;no;no;no;cellular;aug;tue;1.4;93.444;-36.1;4.963;no
[40, 60[;Employed;Not married;Basic;no;yes;no;cellular;jul;tue;1.4;93.918;-42.7;4.962;no
*;*;*;*;*;*;*;cellular;jul;thu;-1.7;94.215;-40.3;0.899;no
[20, 40[;Employed;Not married;University Degree;no;unknown;unknown;telephone;may;tue;1.1;93.994;-36.4;4.856;no
[20, 40[;Employed;Not married;University Degree;no;no;no;cellular;nov;thu;-0.1;93.2;-42;4.076;no
[20, 40[;Employed;Married;University Degree;no;yes;no;cellular;may;thu;-1.8;92.893;-46.2;1.327;no
[40, 60[;Employed;Not married;University Degree;no;no;no;cellular;nov;tue;-3.4;92.649;-30.1;0.72;yes
[40, 60[;Employed;Married;University Degree;unknown;no;no;cellular;nov;fri;-0.1;93.2;-42;4.021;no
[20, 40[;Employed;Not married;University Degree;no;no;no;cellular;aug;wed;1.4;93.444;-36.1;4.964;no
[20, 40[;Employed;Married;Basic;unknown;unknown;unknown;telephone;may;thu;1.1;93.994;-36.4;4.86;no
[20, 40[;Employed;Not married;HIgh School;no;yes;no;cellular;jul;fri;1.4;93.918;-42.7;4.963;no
[20, 40[;Employed;Married;Basic;no;yes;no;cellular;may;wed;-1.8;92.893;-46.2;1.334;no
*;*;*;*;*;*;*;telephone;dec;tue;-3;92.713;-33;0.715;no
[40, 60[;Employed;Married;Basic;no;yes;no;cellular;jul;mon;1.4;93.918;-42.7;4.96;no
[40, 60[;Employed;Married;HIgh School;unknown;yes;no;telephone;aug;mon;1.4;93.444;-36.1;4.965;no
[40, 60[;Employed;Married;HIgh School;no;no;yes;telephone;may;wed;1.1;93.994;-36.4;4.856;no
[40, 60[;Employed;Not married;Unknown;no;yes;no;cellular;apr;fri;-1.8;93.075;-47.1;1.405;no
[20, 40[;Employed;Not married;University Degree;no;yes;no;cellular;jul;tue;-1.7;94.215;-40.3;0.876;no
[40, 60[;Employed;Married;Basic;no;no;no;cellular;jul;tue;1.4;93.918;-42.7;4.961;no
[20, 40[;Employed;Not married;HIgh School;no;yes;no;telephone;may;wed;1.1;93.994;-36.4;4.859;yes
[20, 40[;Employed;Not married;University Degree;no;no;no;cellular;apr;thu;-1.8;93.075;-47.1;1.435;no
[20, 40[;Employed;Not married;Basic;unknown;yes;no;telephone;jun;wed;1.4;94.465;-41.8;4.864;no
[40, 60[;Employed;Not married;Professional Course;no;yes;yes;cellular;jul;thu;1.4;93.918;-42.7;4.963;no
[20, 40[;Employed;Married;Professional Course;no;yes;no;cellular;nov;thu;-0.1;93.2;-42;4.076;no
[20, 40[;Employed;Not married;Professional Course;no;no;no;telephone;jun;tue;1.4;94.465;-41.8;4.961;no
[20, 40[;Employed;Not married;University Degree;no;yes;no;cellular;jun;wed;-1.7;94.055;-39.8;0.739;no
*;*;*;*;*;*;*;cellular;sep;wed;-1.1;94.199;-37.5;0.886;yes
[20, 40[;Employed;Married;Basic;no;yes;yes;telephone;may;mon;-1.8;92.893;-46.2;1.299;no
[40, 60[;Employed;Not married;Professional Course;no;yes;no;telephone;may;mon;1.1;93.994;-36.4;4.857;no
[20, 40[;Employed;Married;HIgh School;no;yes;yes;cellular;aug;mon;1.4;93.444;-36.1;4.965;no
[40, 60[;Employed;Not married;Basic;no;yes;no;cellular;jun;wed;-2.9;92.963;-40.8;1.26;no
[20, 40[;Employed;Not married;HIgh School;no;yes;yes;cellular;may;fri;-1.8;92.893;-46.2;1.313;no
[40, 60[;Retired;Married;Basic;unknown;yes;no;cellular;aug;thu;1.4;93.444;-36.1;4.963;no
[20, 40[;Employed;Not married;HIgh School;no;no;no;cellular;aug;mon;-2.9;92.201;-31.4;0.861;no
[20, 40[;Employed;Married;HIgh School;no;yes;no;cellular;nov;wed;-1.1;94.767;-50.8;1.048;no
[20, 40[;Student;Not married;University Degree;no;no;no;cellular;jul;thu;1.4;93.918;-42.7;4.958;no
[20, 40[;Employed;Married;University Degree;no;no;no;telephone;jun;thu;1.4;94.465;-41.8;4.961;no
*;*;*;*;*;*;*;cellular;aug;wed;-2.9;92.201;-31.4;0.879;no
[40, 60[;Employed;Not married;University Degree;no;yes;no;telephone;jun;fri;1.4;94.465;-41.8;4.967;no
[20, 40[;Employed;Not married;University Degree;unknown;yes;no;telephone;jun;mon;1.4;94.465;-41.8;4.961;no
[40, 60[;unemployed;Married;HIgh School;unknown;no;no;telephone;jun;tue;1.4;94.465;-41.8;4.864;no
[40, 60[;Employed;Married;Basic;no;yes;no;cellular;jul;fri;1.4;93.918;-42.7;4.957;no
[40, 60[;Retired;Not married;Basic;unknown;yes;no;telephone;may;fri;1.1;93.994;-36.4;4.859;no
[40, 60[;Retired;Married;Basic;unknown;no;no;cellular;aug;mon;1.4;93.444;-36.1;4.965;no
[20, 40[;Employed;Not married;University Degree;no;yes;no;cellular;aug;fri;-2.9;92.201;-31.4;0.869;no
[40, 60[;Employed;Not married;Professional Course;no;yes;no;cellular;jul;tue;1.4;93.918;-42.7;4.961;no
[20, 40[;Employed;Married;Professional Course;no;no;no;telephone;jun;thu;1.4;94.465;-41.8;4.866;no
[40, 60[;Employed;Married;University Degree;no;no;no;cellular;nov;fri;-0.1;93.2;-42;4.021;no
[40, 60[;Employed;Not married;Basic;unknown;no;no;telephone;jun;thu;1.4;94.465;-41.8;4.961;no
[40, 60[;Employed;Married;Basic;unknown;no;no;telephone;jun;thu;1.4;94.465;-41.8;4.866;no
[40, 60[;Employed;Married;University Degree;no;no;no;cellular;aug;fri;1.4;93.444;-36.1;4.964;no
[20, 40[;Employed;Married;University Degree;unknown;yes;no;cellular;jul;mon;1.4;93.918;-42.7;4.962;no
[20, 40[;Employed;Not married;HIgh School;no;yes;no;telephone;may;fri;1.1;93.994;-36.4;4.864;no
[20, 40[;Employed;Not married;HIgh School;no;no;no;telephone;may;wed;1.1;93.994;-36.4;4.856;no
[40, 60[;Employed;Married;University Degree;no;yes;no;cellular;aug;mon;1.4;93.444;-36.1;4.965;no
*;*;*;*;*;*;*;cellular;oct;wed;-1.1;94.601;-49.5;0.985;yes
[20, 40[;Employed;Married;Basic;no;yes;no;cellular;may;mon;-1.8;92.893;-46.2;1.299;no
[40, 60[;Employed;Married;University Degree;no;yes;no;cellular;jul;wed;-2.9;92.469;-33.6;1.029;no
[20, 40[;Employed;Not married;Basic;unknown;yes;no;telephone;may;fri;1.1;93.994;-36.4;4.857;no
[40, 60[;Employed;Married;HIgh School;no;no;no;cellular;may;fri;-1.8;92.893;-46.2;1.25;no
[40, 60[;Employed;Married;Basic;unknown;yes;yes;cellular;jul;mon;1.4;93.918;-42.7;4.962;no
[20, 40[;Employed;Married;HIgh School;no;yes;no;telephone;jul;mon;1.4;93.918;-42.7;4.96;no
[20, 40[;Employed;Married;HIgh School;no;no;no;telephone;may;wed;1.1;93.994;-36.4;4.857;no
[20, 40[;Employed;Married;HIgh School;no;no;no;cellular;jul;mon;1.4;93.918;-42.7;4.962;no
[20, 40[;Employed;Not married;HIgh School;no;no;no;cellular;may;mon;-1.8;92.893;-46.2;1.244;no
[40, 60[;Employed;Married;Basic;unknown;yes;no;cellular;jul;mon;1.4;93.918;-42.7;4.962;no
[20, 40[;Employed;Married;Basic;no;yes;no;cellular;nov;thu;-0.1;93.2;-42;4.076;no
[20, 40[;Employed;Not married;HIgh School;unknown;yes;no;telephone;jun;mon;1.4;94.465;-41.8;4.961;no
[20, 40[;Employed;Not married;Basic;no;yes;no;cellular;jul;wed;-1.7;94.215;-40.3;0.84;yes
[20, 40[;Employed;Married;Basic;unknown;yes;no;telephone;may;wed;1.1;93.994;-36.4;4.858;no
[20, 40[;Employed;Not married;Basic;unknown;no;no;telephone;may;thu;1.1;93.994;-36.4;4.855;no
[20, 40[;Employed;Married;Basic;no;yes;yes;telephone;may;fri;1.1;93.994;-36.4;4.855;no
[40, 60[;Employed;Married;Professional Course;no;yes;yes;cellular;aug;mon;1.4;93.444;-36.1;4.963;no
[40, 60[;Employed;Married;HIgh School;no;yes;no;telephone;may;wed;1.1;93.994;-36.4;4.859;no
[20, 40[;Employed;Married;HIgh School;no;no;no;telephone;jun;wed;1.4;94.465;-41.8;4.962;no
[40, 60[;Employed;Married;HIgh School;unknown;no;no;cellular;aug;fri;1.4;93.444;-36.1;4.966;no
[20, 40[;Employed;Married;University Degree;no;no;no;telephone;jun;mon;1.4;94.465;-41.8;4.865;no
[40, 60[;Employed;Married;Basic;no;yes;no;telephone;may;tue;1.1;93.994;-36.4;4.856;no
*;*;*;*;*;*;*;cellular;may;tue;-1.8;92.893;-46.2;1.344;no
[20, 40[;Employed;Married;Basic;no;yes;no;cellular;may;thu;-1.8;92.893;-46.2;1.266;no
[20, 40[;Employed;Not married;Basic;no;no;no;telephone;jul;mon;-1.7;94.215;-40.3;0.889;no
[40, 60[;Employed;Married;Basic;no;no;no;telephone;may;tue;1.1;93.994;-36.4;4.857;no
[40, 60[;Employed;Married;HIgh School;no;yes;no;cellular;aug;wed;1.4;93.444;-36.1;4.964;no
[20, 40[;Employed;Not married;University Degree;no;yes;yes;telephone;jul;mon;-1.7;94.215;-40.3;0.889;no
[40, 60[;Employed;Not married;Basic;no;yes;no;cellular;may;tue;-1.8;92.893;-46.2;1.291;yes
[20, 40[;Employed;Married;Professional Course;no;no;no;telephone;oct;thu;-0.1;93.798;-40.4;4.921;yes
[20, 40[;Employed;Married;Basic;unknown;yes;no;telephone;jun;mon;1.4;94.465;-41.8;4.961;no
[20, 40[;Employed;Not married;Professional Course;no;no;no;telephone;jun;fri;1.4;94.465;-41.8;4.959;no
[20, 40[;Employed;Married;HIgh School;no;yes;no;telephone;jun;tue;1.4;94.465;-41.8;4.864;no
[20, 40[;Employed;Married;HIgh School;no;no;no;cellular;apr;mon;-1.8;93.075;-47.1;1.405;no
[20, 40[;Employed;Married;University Degree;no;yes;no;cellular;nov;thu;-0.1;93.2;-42;4.076;no
[40, 60[;Employed;Married;Professional Course;no;no;no;cellular;jul;wed;1.4;93.918;-42.7;4.963;no
[20, 40[;Employed;Married;University Degree;no;yes;no;telephone;jun;fri;1.4;94.465;-41.8;4.959;no
[20, 40[;Employed;Married;HIgh School;no;no;no;cellular;jul;thu;1.4;93.918;-42.7;4.958;no
[20, 40[;Employed;Not married;Basic;no;no;no;cellular;jun;mon;-2.9;92.963;-40.8;1.266;no
[20, 40[;Employed;Married;HIgh School;no;no;no;telephone;jun;fri;1.4;94.465;-41.8;4.959;no
